phase,court,building,floor,flat,lat,lng,heading,altitude,altitudeStatus,horizontalConfidence,verticalConfidence,flytoUrl
1,"樂湖居",1,3,"A",22.451151,114.001635,61.4,16.7,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.451151,114.001635,16.7,61.4,0.1,0&l=zh-HK"
1,"樂湖居",1,3,"B",22.451135,114.001645,61.4,16.7,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.451135,114.001645,16.7,61.4,0.1,0&l=zh-HK"
1,"樂湖居",1,3,"C",22.451001,114.001599,155.6,16.7,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.451001,114.001599,16.7,155.6,0.1,0&l=zh-HK"
1,"樂湖居",1,3,"D",22.450993,114.001581,155.6,16.7,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.450993,114.001581,16.7,155.6,0.1,0&l=zh-HK"
1,"樂湖居",1,3,"E",22.451043,114.00143,238.7,16.7,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.451043,114.00143,16.7,238.7,0.1,0&l=zh-HK"
1,"樂湖居",1,3,"F",22.451057,114.001421,238.7,16.7,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.451057,114.001421,16.7,238.7,0.1,0&l=zh-HK"
1,"樂湖居",1,3,"G",22.451188,114.001466,334.7,16.7,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.451188,114.001466,16.7,334.7,0.1,0&l=zh-HK"
1,"樂湖居",1,3,"H",22.451195,114.001482,334.7,16.7,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.451195,114.001482,16.7,334.7,0.1,0&l=zh-HK"
2,"賞湖居",1,3,"A",22.452561,114.001686,236.6,17.6,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.452561,114.001686,17.6,236.6,0.1,0&l=zh-HK"
2,"賞湖居",1,3,"B",22.452546,114.001697,236.6,17.6,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.452546,114.001697,17.6,236.6,0.1,0&l=zh-HK"
2,"賞湖居",1,3,"C",22.4525,114.001843,154.1,17.6,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.4525,114.001843,17.6,154.1,0.1,0&l=zh-HK"
2,"賞湖居",1,3,"D",22.452512,114.001857,154.1,17.6,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.452512,114.001857,17.6,154.1,0.1,0&l=zh-HK"
2,"賞湖居",1,3,"E",22.452647,114.001902,61.6,17.6,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.452647,114.001902,17.6,61.6,0.1,0&l=zh-HK"
2,"賞湖居",1,3,"F",22.452662,114.001894,61.6,17.6,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.452662,114.001894,17.6,61.6,0.1,0&l=zh-HK"
2,"賞湖居",1,3,"G",22.452704,114.001751,335.3,17.6,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.452704,114.001751,17.6,335.3,0.1,0&l=zh-HK"
2,"賞湖居",1,3,"H",22.452697,114.001735,335.3,17.6,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.452697,114.001735,17.6,335.3,0.1,0&l=zh-HK"
3,"翠湖居",1,3,"A",22.457368,113.999092,195.2,20.2,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.457368,113.999092,20.2,195.2,0.1,0&l=zh-HK"
3,"翠湖居",1,3,"B",22.457373,113.999073,195.2,20.2,"estimated","moderate","low","https://3d.map.gov.hk/mapviewer/app/map?flyto=22.457373,113.999073,20.2,195.2,0.1,0&l=zh-HK"
